Mes/ano,ICV,Tempo
Jan-70,71.6,1
Feb-70,72.5,2
Mar-70,73.5,3
Apr-70,74.5,4
May-70,75.2,5
Jun-70,76.3,6
Jul-70,76.9,7
Aug-70,78.1,8
Sep-70,80,9
Oct-70,80.9,10
Nov-70,81.7,11
Dec-70,82.9,12
Jan-71,84.7,13
Feb-71,86.3,14
Mar-71,88.8,15
Apr-71,90.9,16
May-71,91.5,17
Jun-71,93.4,18
Jul-71,94.6,19
Aug-71,95.9,20
Sep-71,96.7,21
Oct-71,97.8,22
Nov-71,99.1,23
Dec-71,100,24
Jan-72,102.2,25
Feb-72,103.7,26
Mar-72,104.7,27
Apr-72,106,28
May-72,106.7,29
Jun-72,107.9,30
Jul-72,110.4,31
Aug-72,112.3,32
Sep-72,114.1,33
Oct-72,116.1,34
Nov-72,117.1,35
Dec-72,117.5,36
Jan-73,118.9,37
Feb-73,120.2,38
Mar-73,122.1,39
Apr-73,124.2,40
May-73,125.2,41
Jun-73,126.2,42
Jan-73,127.6,43
Aug-73,128.9,44
Sep-73,130.5,45
Oct-73,132,46
Nov-73,133.2,47
Dec-73,133.9,48
Jan-74,135.1,49
Feb-74,139.9,50
Mar-74,145.8,51
Apr-74,153.2,52
May-74,156.1,53
Jun-74,158.1,54
Jul-74,161.6,55
Aug-74,164.7,56
Sep-74,167.4,57
Oct-74,170.2,58
Nov-74,174,59
Dec-74,178.1,60
Jan-75,183.1,61
Feb-75,187.5,62
Mar-75,189.9,63
Apr-75,194.1,64
May-75,197.8,65
Jun-75,204,66
Jul-75,208,67
Aug-75,215,68
Sep-75,219,69
Oct-75,223,70
Nov-75,227,71
Dec-75,230,72
Jan-76,238,73
Feb-76,251,74
Mar-76,256,75
Apr-76,263,76
May-76,270,77
Jun-76,275,78
Jul-76,280,79
Aug-76,290,80
Sep-76,298,81
Oct-76,305,82
Nov-76,310,83
Dec-76,318,84
Jan-77,329,85
Feb-77,343,86
Mar-77,359,87
Apr-77,375,88
May-77,383,89
Jun-77,393,90
Jul-77,400,91
Aug-77,407,92
Sep-77,415,93
Oct-77,424,94
Nov-77,436,95
Dec-77,449,96
Jan-78,456,97
Feb-78,474,98
Mar-78,486,99
Apr-78,495,100
May-78,510,101
Jun-78,535,102
Jul-78,558,103
Aug-78,572,104
Sep-78,586,105
Oct-78,602,106
Nov-78,617,107
Dec-78,628,108
Jan-79,653,109
Feb-79,667,110
Mar-79,707,111
Apr-79,731,112
May-79,746,113
Jun-79,778,114
Jul-79,812,115
Aug-79,840,116
Sep-79,849,117
Oct-79,936,118
Nov-79,980,119
Dec-79,1049,120
Jan-80,1096,121
Feb-80,1133,122
Mar-80,1182,123
Apr-80,1237,124
May-80,1309,125
Jun-80,1374,126
