mês/ano,ipialiment,,,
Jan-85,84.15,,,
Feb-85,71.53,,,
Mar-85,72.55,,,
Apr-85,67.02,,,
May-85,72.61,,,
Jun-85,95.6,,,
Jul-85,105.12,,,
Aug-85,106.67,,,
Sep-85,96.97,,,
Oct-85,109.78,,,
Nov-85,97.8,,,
Dec-85,93.63,,,
Jan-86,92.39,,,
Feb-86,77.03,,,
Mar-86,66.75,,,
Apr-86,69.81,,,
May-86,73.01,,,
Jun-86,90.07,,,
Jul-86,100.8,,,
Aug-86,97.12,,,
Sep-86,103.99,,,
Oct-86,115.94,,,
Nov-86,97.8,,,
Dec-86,92.48,,,
Jan-87,92.14,,,
Feb-87,85.61,,,
Mar-87,86.39,,,
Apr-87,75.96,,,
May-87,73.53,,,
Jun-87,96.19,,,
Jul-87,103.02,,,
Aug-87,105.14,,,
Sep-87,111.03,,,
Oct-87,117.06,,,
Nov-87,104.21,,,
Dec-87,100.38,,,
Jan-88,87.06,,,
Feb-88,76.24,,,
Mar-88,78.47,,,
Apr-88,70.55,,,
May-88,75.14,,,
Jun-88,110.17,,,
Jul-88,112.72,,,
Aug-88,115.2,,,
Sep-88,111.23,,,
Oct-88,99.91,,,
Nov-88,96.85,,,
Dec-88,89.9,,,
Jan-89,82.1,,,
Feb-89,72.06,,,
Mar-89,78.65,,,
Apr-89,71.45,,,
May-89,74.93,,,
Jun-89,96.85,,,
Jul-89,103.18,,,
Aug-89,114.2,,,
Sep-89,112.74,,,
Oct-89,122.21,,,
Nov-89,111.57,,,
Dec-89,97.83,,,
Jan-90,100.62,,,
Feb-90,82.5,,,
Mar-90,76.56,,,
Apr-90,65.81,,,
May-90,83.59,,,
Jun-90,92.06,,,
Jul-90,107.18,,,
Aug-90,116.34,,,
Sep-90,109.26,,,
Oct-90,118.22,,,
Nov-90,111.21,,,
Dec-90,95.1,,,
Jan-91,95.41,,,
Feb-91,74.4,,,
Mar-91,84.5,,,
Apr-91,93.51,,,
May-91,99.95,,,
Jun-91,103.34,,,
Jul-91,115.93,,,
Aug-91,118.06,,,
Sep-91,109.83,,,
Oct-91,115.65,,,
Nov-91,101.47,,,
Dec-91,87.93,,,
Jan-92,87.44,,,
Feb-92,82.39,,,
Mar-92,86.54,,,
Apr-92,88.74,,,
May-92,96.92,,,
Jun-92,107.86,,,
Jul-92,116.07,,,
Aug-92,114.03,,,
Sep-92,105.72,,,
Oct-92,111.31,,,
Nov-92,106.46,,,
Dec-92,95.59,,,
Jan-93,90.36,,,
Feb-93,77.73,,,
Mar-93,93.38,,,
Apr-93,89.65,,,
May-93,100.53,,,
Jun-93,105.84,,,
Jul-93,115.23,,,
Aug-93,113.98,,,
Sep-93,107.98,,,
Oct-93,107.94,,,
Nov-93,107.11,,,
Dec-93,95.89,,,
Jan-94,87.9,,,
Feb-94,76.12,,,
Mar-94,90.34,,,
Apr-94,85.33,,,
May-94,99.31,,,
Jun-94,107.17,,,
Jul-94,115.51,,,
Aug-94,126.9,,,
Sep-94,117.71,,,
Oct-94,116.51,,,
Nov-94,109.81,,,
Dec-94,99.9,,,
Jan-95,95.68,,,
Feb-95,84.69,,,
Mar-95,102.81,,,
Apr-95,89.73,,,
May-95,104.3,,,
Jun-95,109.88,,,
Jul-95,119.3,,,
Aug-95,125.92,,,
Sep-95,121.31,,,
Oct-95,131.09,,,
Nov-95,127.37,,,
Dec-95,115.37,,,
Jan-96,110.74,,,
Feb-96,93.78,,,
Mar-96,100.79,,,
Apr-96,99.53,,,
May-96,115.55,,,
Jun-96,115.33,,,
Jul-96,133.29,,,
Aug-96,135.62,,,
Sep-96,126.63,,,
Oct-96,134.93,,,
Nov-96,121.51,,,
Dec-96,109.79,,,
Jan-97,103.95,,,
Feb-97,88.2,,,
Mar-97,99.46,,,
Apr-97,105.22,,,
May-97,111.99,,,
Jun-97,117.25,,,
Jul-97,132.74,,,
Aug-97,136.36,,,
Sep-97,140.65,,,
Oct-97,143.1,,,
Nov-97,121.2,,,
Dec-97,111.36,,,
Jan-98,101.67,,,
Feb-98,92.32,,,
Mar-98,102.13,,,
Apr-98,102.57,,,
May-98,112.58,,,
Jun-98,125.52,,,
Jul-98,140.47,,,
Aug-98,138.75,,,
Sep-98,135.9,,,
Oct-98,135.16,,,
Nov-98,131.06,,,
Dec-98,112.08,,,
Jan-99,98.9,,,
Feb-99,89.77,,,
Mar-99,107.46,,,
Apr-99,104.98,,,
May-99,126.52,,,
Jun-99,129.81,,,
Jul-99,136.54,,,
Aug-99,148.31,,,
Sep-99,143.41,,,
Oct-99,142.99,,,
Nov-99,130.43,,,
Dec-99,115.05,,,
Jan-00,100.13,,,
Feb-00,99.9,,,
Mar-00,105.38,,,
Apr-00,101.96,,,
May-00,116.19,,,
Jun-00,124.66,,,
Jul-00,131.1,,,
